ref,stratum,align_conf,folio,gt_text,htr_text,image
DE-611-HS-862041:0034:013,fair_copy,0.980,17v,fuerat Ducatus. Optarem Codicem Wingartensem etiam,fuerat ducatus. Optarem Codicem Wingartentem etiam,yes
00068377:1223:026,fair_copy,0.984,620r,"Je luy ay envoyé
vostre lettre lattine pour le Pere Grimaldy que",Je luy ay envoyé vostre Lettre Latine pour le Pere Guimaldy que,yes
00068377:1383:023,fair_copy,0.947,700r,"tout d’un coup, et [l’jon ne revient pas aussi","tout dun eoup, et on ne reuient pas eus",yes
00068285:0002:001,fair_copy,1.000,1v,rum contingentium absolutorum vel,rum contingentium absolutorum vel,yes
00068285:0009:035,fair_copy,1.000,5r,fecturum intrudenda.,fecturum intrudenda.,yes
00068285:0013:039,fair_copy,0.912,7r,certis regulis gubernat et cum qui,certes regules gubernat et oum qui,yes
00068285:0016:001,fair_copy,0.882,8v,"temere, nec nisi accurate inspectis",temere nec nisi adrurate inopertis,yes
00068285:0033:026,fair_copy,1.000,17r,Et proinde,et proinde,yes
00068285:0037:019,fair_copy,0.839,19r,ritus Sancti inhabitationem non,nitas saaiti inhabotationem non,yes
00068285:0059:036,fair_copy,0.935,30r,"vocationem suam sequatur, id est",vocationem suam siquatur ad est,yes
00068285:0070:008,fair_copy,0.871,35v,"Christum impetrato?
Itaque nemo",Christam impetrato? Ataque nenco,yes
00068285:0075:033,fair_copy,1.000,38r,sua de nobis concepta opinione,sua de nobis concepta opinione,yes
00068285:0090:000,fair_copy,1.000,45v,pulcherrime exprimuntur; quarum,"pulcherrime, exprimuntur, quarum",yes
00068285:0101:040,fair_copy,0.946,51r,sentiendum videndum in quo ille con,sentien dum. viden dum in quo ille con,yes
00068285:0109:025,fair_copy,0.970,55r,scilicet quasi forte sublata illa,soilicet quasi forte sublata illa,yes
00068285:0135:034,fair_copy,0.935,68r,in vetitum nitamur; et quae tran,"in vetitum nitamus, et quac tran",yes
00068285:0139:040,fair_copy,0.824,70r,"eae quae a beatis funduntur,",eac quac a beatio,yes
00068285:0140:004,fair_copy,1.000,70v,Deus autem expresse et minis pro,Deus autem expresse et minis pro-,yes
00068285:0148:014,fair_copy,0.933,74v,autem quantum Deus etiam viven,autem quantum Deos etiam viver,yes
00068285:0157:002,fair_copy,0.970,79r,et quicquid praeterea ad eam rem,et quicqu’id praeterea ad eam rem,yes
00068285:0166:010,fair_copy,1.000,83v,"tis posse
defendi, nullum enim exem",tis posse defendi; nullum enim exem-,yes
00068285:0173:037,fair_copy,0.971,87r,"quidem naturam corporis, ut extensum","quidem naturam corporis, ut extensam",yes
00068285:0183:029,fair_copy,1.000,92r,"inter se, et cum externis consentientes.",interse et cum externis consentientes,yes
00068285:0194:004,fair_copy,0.909,97v,salubriter Ecclesiae provideatur.,Salubriter Ecolesiae pracuideatur.,yes
00068285:0211:023,fair_copy,0.919,106r,m divina sapientia dignum esse nega,hoi divina sapientia dignum esse nega-,yes
00068285:0214:010,fair_copy,1.000,107v,nitentiales et definiendi quantum,nitentiales et definiendi quantum,yes
00068285:0233:024,fair_copy,0.919,117r,tantum jurisdictio voluntaria contine,tantum durirdictio voluataria contine,yes
00068285:0240:010,fair_copy,0.921,120v,Ecclesiasticae potestatis collimitatio,Ecolesiasticae potestates eollimitatio,yes
00068285:0256:015,fair_copy,0.923,128v,"indulgentiam recipere, ut quando eandem",in dulgentiam reripere et quando eandem,yes
00068285:0273:014,fair_copy,0.933,137r,"venire, aut in aeternum damnari.",venire aut in aeteanum damnami,yes
DE-611-HS-957395:0009:011,light_revision,1.000,5r,"Je ne sçay comment je me suis mis en teste, de vouloir","Je ne sçay comment je me suis mis en teste, de vouloir",yes
00068377:1246:014,light_revision,0.958,631v,"qu’on peut n’estre pas de mesme avis
sur la Religion, et s’esclaircir les uns","qu’on peu n’estre pas demesme auis sur la Religion, et Lesclaiveir les un",yes
DE-611-HS-867801:0007:039,light_revision,0.952,4r,crois avoir pour ce qui regarde la langue des Tartares establis,erois avoir pour ce qui regarde la lanque des Cartares establis,yes
DE-611-HS-867321:0021:010,light_revision,0.722,11r,de Mecenas Vous vous devriez attendre,de Mhecenc Vous nons dorner atterche,yes
DE-611-HS-957357:0088:009,light_revision,0.852,44v,rai pas de vous communique,sui pat de vous com munique,yes
DE-611-HS-960102:0009:034,light_revision,0.983,5r,"qu’il y a certaines occasions particulières où
les Chevaux",qu’il y a certaines occasions particulieves ou les Chevaux,yes
DE-611-HS-970495:0142:001,light_revision,1.000,71v,librorum inter Batavos distractorum. Catalogus,librorum inter Batavos distractorum. Catalogus,yes
DE-611-HS-860383:0016:000,light_revision,0.875,8v,Monsieur,Monoieur,yes
DE-611-HS-867205:0001:032,light_revision,0.833,1r,tudiis cogitatio; qua ut plurimum,Hadis coviratio; qua utplucimum,yes
DE-611-HS-857075:0050:034,light_revision,0.875,25v,aller faire? à quo,alle faire. a jao,yes
DE-611-HS-957317:0052:034,light_revision,0.891,26v,"ou d’une nouvelle qui s’en pourroit tirer [,] vous pourrez",ou d’une non velle quà s’en pourvoit tiver vous pourret,yes
DE-611-HS-855601:0006:015,light_revision,0.976,3v,ordinaire de sa Majesté dés l’an 1667. à la,ordinaire de sa Majesté des l’an 16b7. à la,yes
DE-611-HS-959288:0086:029,light_revision,0.625,43v,érité,erviteur,yes
00068369:0015:019,light_revision,0.929,8r,Mon Theologien,Mon Theologren,yes
DE-611-HS-861697:0036:033,light_revision,1.000,18v,C,C,yes
DE-611-HS-971102:0034:010,light_revision,0.955,17v,publicatis sponsalibus ejusdem Regis cum soro,publicatio sponsalibus ejusdem Legis cu soro-,yes
DE-611-HS-855763:0005:036,light_revision,0.750,3r,chose impossible presentement veu que,ehore quu emposcible ppresentem veu quer,yes
DE-611-HS-856369:0192:022,light_revision,0.833,96v,"curabo.
Vidi his diebus disputationem",curabo. Fedi sid drebus dispatationem,yes
DE-611-HS-860359:0005:026,light_revision,1.000,3r,"rement lui donner une autre forme, et au lieu",rement lui donner une autre forme; et au lieu,yes
DE-611-HS-855766:0015:045,light_revision,0.949,8r,extraits que j’en avois fait imprimer cet hyver avec quelques,extraits que ilen avei fait imprimer ct hyver avec quilques,yes
00068442:0051:032,light_revision,1.000,25r,"mieux, vous advouer ma
paresse, que de vous faire","mieux  vous advouer ma paresse, que de vous faire",yes
DE-611-HS-973068:0082:003,light_revision,1.000,41v,"et omni cultiore doctrina perpoliti viri, qui discipulus","et omni cultiore doctrina perpoliti viri, qui discipulus",yes
DE-611-HS-974744:0053:001,light_revision,0.722,27r,dafür lebenslang verbunden bleibe.,ia sur leberb lanus verbunden blarbe.,yes
DE-611-HS-861697:0053:007,light_revision,0.943,27r,"de mes Notes sur Vitriarius, et Vous","de mes Notes sur Vituiarins, et vous",yes
DE-611-HS-970455:0043:035,light_revision,1.000,22r,"nunc mihi amplior dicendi
campus; sed",nunc mihi amplior dicendi campus: sed,yes
DE-611-HS-971140:0064:052,light_revision,1.000,31v,e,e,yes
DE-611-HS-866698:0001:007,light_revision,0.893,1r,"Espagnols aux Francés qu'est surprennent, car a ce
pauure Ro","Etpagnols aux frances qus sueprenent, a cas a ce paure so",yes
DE-611-HS-958494:0036:004,light_revision,0.967,18v,"des corps infectez de
la peste",des corps infecter de la peste,yes
00068778:0079:037,light_revision,0.978,40r,"Propius
ad scopum ferit c. 1. de sponsalibus, ubi","Propius ad scopum ferit C. 1. de sponsalibus, abi",yes
DE-611-HS-860577:0026:057,light_revision,0.913,13v,norum Tibi commendatam.,nocum tibi comme ndatam.,yes
DE-611-HS-3595205:0073:018,light_revision,0.781,37r,"cette courbe, dis-je, a pour équa","i cetto courbo, dirgo, a pour aqua",yes
00068768:0311:027,light_revision,0.897,153r,"Trajectum in Gallorum
aut Gal",trajectum in daleorum aut hal.,yes
00068768:0384:014,light_revision,0.957,189v,"culi obscuritate introduxeram: tunc cum
ad Roma",culi obseuritate introduxeram: tunc eum ad Roma-,yes
00068283:0044:006,light_revision,0.957,19v,Omnipotentem Deum adoremus. Hinc nata illa fabu,"omnipotentem DEuM, adoremus. Hinc nata illa fabii",yes
00068774:0253:037,light_revision,0.891,127r,"Welches theil aber der alternativae wahr, ob der König","W’elches theil aber der alternatiuae vahe, ob des Koniqu",yes
00068774:0254:026,light_revision,0.906,127v,"men könne, auf welchen fall
objectio superior de rege orbo,","men korine, aut velchen Fall objectio superios de Rege",yes
00068774:0268:022,light_revision,0.936,134v,"sie
machen ihren Nachbarn das maul nach gleicher",sie macher ihrer Wachban das maul nach gleicher,yes
DE-611-HS-859609:0038:022,light_revision,0.909,19v,ctobris 1691,ctohis: 1691,yes
DE-611-HS-974894:0263:018,light_revision,1.000,137r,de trois mois en trois mois.,de trois mois en trois mois.,yes
00068774:0113:036,light_revision,0.957,57r,"latim
thun, oder mit einander, und sonderlich nach","latim thun, oder mit emander, vna sonderlich nach",yes
DE-611-HS-973119:0126:043,light_revision,1.000,63v,a,A,yes
DE-611-HS-855712:0025:026,light_revision,0.967,12r,"moines, que de laboureurs.
Mais j’apprends qu’on a imprimé une","moines, que de la boureurs. Marsj’apprends qu’on a imprime une",yes
DE-611-HS-867437:0100:018,light_revision,0.982,50v,"lacerare. Equidem gloriae ipsius me
nihil invidere ex tot",lacerare. Equidem gloria ipsius me nihis invidere ex tot,yes
DE-611-HS-971383:0034:052,light_revision,1.000,17v,a,a,yes
00068377:1120:009,light_revision,0.983,568v,"le véritable tempérament est d admirer la nature
avec con",le veritable tremperament est d’admirer la nature avec con,yes
DE-611-HS-861723:0193:021,light_revision,0.979,97r,"à Ratisbonne, et qui a ordre d’aller à Francfort:","a Ratirbonne, et qui a ordre d’aller à francfort",yes
00068401:0113:004,light_revision,0.784,57r,"liche tugend, oder eine tugend so die",eiche iugenit oder eine iugenit so du,yes
00068768:0051:044,light_revision,0.885,25r,si maritimam provinciae par,S. maritimam provinaine pas,yes
00068768:0127:060,light_revision,0.900,61r,efficacissimis nondum licet satis publicis artibus,efficacissinis nondum lecet fatis pablicir artibus,yes
00068768:0161:032,light_revision,0.875,78r,"Sed etsi aliquid restare
supponeretur, id mari et N",Sed etsi aliguid Verrare supponeretur id masriae,yes
DE-611-HS-868175:0015:002,heavy_revision,0.763,8r,J’ay esté en doute si j’oseroi,j’ay este pet en doute si j’operois vo,yes
DE-611-HS-971126:0001:053,heavy_revision,0.923,1r,"ar sa foy tousjours aussy vive que pure, luy
inspiroit","a sa fos tousvours aussy vive que pure, les inspiroit",yes
DE-611-HS-973068:0059:028,heavy_revision,0.964,30r,autem sex. in tertio hoc tempore Amsterodamenses elaborant,autem sex. in tortio hoc tempore Amperodamenses elaborant,yes
DE-611-HS-867205:0015:017,heavy_revision,0.882,8r,tates cum versentur longe certiores,sates sum versentut. Longe centiore,yes
DE-611-HS-867145:0039:037,heavy_revision,1.000,20r,"je ne sçay s’il vit encor, et s’il est dans
quelque employ.","je ne sçay s’il vit encor, et s’il est dans quelque employ.",yes
DE-611-HS-973585:0073:003,heavy_revision,0.979,37r,J’avois dessein de vous faire souvenir de ce que,S’avois dessein de vous faire souvenir de ce que,yes
DE-611-HS-960189:0001:015,heavy_revision,0.900,1r,"s’il y a quelque profit à faire, je demeur","sit y a quelque profit a faive, re demaur",yes
DE-611-HS-957829:0126:019,heavy_revision,0.866,62v,"fait evêque de Chisester a fait un bau discours et savant au
clergé de",fait dvoque dd Chisostor à sait un ban discoursehavant au clorgé de,yes
DE-611-HS-860223:0060:004,heavy_revision,0.986,30v,"libris jactantur, a vehementioribus collusionis accusaremur. Itaque praestare","libris jactantur, a verementiorbus collusionis accusaremur. itaque praesta",yes
DE-611-HS-856819:0374:023,heavy_revision,0.867,179v,"le avrei fatto vedere l’intero Diario del suddetto
Gjo. Burcardo, che hò nella",le aurei facro vedere l. intere Criario des sudderr Gjo. Bureardo cheho nello,yes
00068331:0018:002,heavy_revision,1.000,9v,"a traduit en plusieurs langues de l’original qui estoit
latin",atraduit en plusieurs langues de l’original qui estoit latin,yes
DE-611-HS-867251:0037:049,heavy_revision,0.844,19r,"numariae haud postremi, an den lieben Neander",numariae haud postremt an veiu linbum Neander,yes
00068371:0045:027,heavy_revision,0.872,23r,"indies in melius auctam, restitui perfectè et opto
et","indies confirmatam, restitui perfecte et opto et",yes
DE-611-HS-957829:0186:009,heavy_revision,1.000,92v,é,e,yes
DE-611-HS-860205:0007:021,heavy_revision,0.759,4r,chrijft dat selvige Monsr iets van de algebra heeft drucke,flrri o selvoge Mans ieto vau de aegebra heest druohem,yes
00068400:0010:100,heavy_revision,0.730,5v,quibus jurisconsulti vel judices per se non era,quae quibus jurisconsultiven judices non erant per se non erant,yes
00068377:1121:043,heavy_revision,0.889,569r,vous entretenir. Et je vous envoyé maintenant,levus entreteurr Et je vous envoye maintenant,yes
00068778:0014:023,heavy_revision,1.000,7v,"ipso opere: Constantino Bonelli vescouo di citta` di
Castello",ipso opere. Constantino Bonelli vescovo di cittâ dicastello,yes
00068703:0074:014,heavy_revision,0.979,37v,"dicere, intelligendo quod dicimus, quin ejus
habeamus","dicere intellegendo quod dicimus, quin ejus habea",yes
00068378:0719:012,heavy_revision,0.985,358r,"partout, et comme repandue par tout le monde et infiniment au delà.
[p. 76]","par tout, et comme repandue par tout le monde et infiniment au dela",yes
00068647:0042:076,heavy_revision,0.895,21v,"Porro
is Plantae varia nomina accipiunt, tum a partibus,","Porro a ea Slantae rvaria nomina accipiunt, tum a partibus,",yes
00068258:0003:037,heavy_revision,0.727,2r,"znABn — - — , «)nBCn bcd, a n AC n - — - ,",ZHABe cd - bc,yes
00068647:0016:019,heavy_revision,0.896,8v,"sim : pro loquor, dixi, loquar. Dicam, faxim, fecero;","sim. pro eoquor, hoc dixi, loquar. dicam, faxim fecer",yes
DE-611-HS-970486:0240:012,heavy_revision,0.859,121v,"primer ses oeures en
2 Vol. in grand Fol.; il me semble d'en avoir vû trois, si vo","mymmer set aurres en 2. Vol. in grand Pol. il me semble d’en avoir vu trry, si voy",yes
DE-611-HS-960108:0005:046,heavy_revision,0.886,3r,bono utilissimam ad finem perducat. De,bono utitissimam ad ginem sperduiat,yes
DE-611-HS-867509:0126:022,heavy_revision,0.802,62v,"ia yy x 2ax
— xx a Cartesio Geometricam dictam semper Mihi infinitas
curvas exhibere (",eg: yyx2ax x a lartesio Geometricam dictam. sempen Mihi infinibae luo voc extribare,yes
00068606:0413:117,heavy_revision,0.727,184r,Ergo necessarium,Ergo absit necessarium,yes
DE-611-HS-859609:0077:056,heavy_revision,0.815,39r,Quaeso Te ut aequi bonique consulas.,sunso  ut aq boini con sulas,yes
00068753:0127:041,heavy_revision,0.892,64r,Es würde zu weitlaüftig seyn alhier,Es courde zu veit lauftig seyn alhier,yes
00067988:0015:064,heavy_revision,0.983,8r,"ita structas, ut qui non ambas simul
videat, eas discernere","ita strnctas, ut qui non ambas simul videat, eas discernere",yes
00068334:0033:053,heavy_revision,0.961,17r,"hes. 2]
7) Somnia, visiones, voces, literae, miracula non sunt formale fidei objectum, quia","homnia visiones, voces literae, miracula non sunt formalo ficlei objectum, quia",yes
00068331:0043:071,heavy_revision,0.984,22r,"merveilleux
tresor, dont il se rejouira grandement: qui ne l'enten","merveilleux tresor, dout il se rejouira grandement: qui ne l’enten",yes
DE-611-HS-958006:0006:009,heavy_revision,0.984,3v,vous faites profession de parler avec modération de ceux dont,vous faites profession de parlez avec moderation de ceux dont,yes
00068768:0452:031,heavy_revision,1.000,223v,"Sane constabat ex voto cruce signatum, cum","sane constabat ex voto cruce signatum, cum",yes
00068534:0333:126,heavy_revision,1.000,169r,in forma liquida tangenti adhaeret. Itaque Mercurius,in forma liquida tangenti adhaeret. itaque Mercurius,yes
DE-611-HS-958006:0014:030,heavy_revision,0.861,7v,"Abbé Baudrant, je
ne manqueray pas de","Abbe handiant, se ne manquerar pas de",yes
00068549:0190:011,heavy_revision,1.000,100v,re,re,yes
DE-611-HS-855399:0157:026,heavy_revision,0.922,79r,An Perpetuo Mobili aliisque inventis pretium statuerint foederati,An terpetur Mobili aliisus iventis pretium statueriort foederati,yes
00068377:0280:017,heavy_revision,0.909,140v,"dans un arrest, sans qu’on puisse alléguer
contre celuy qui allégué",dans un arroit sans qu’on puisse allequor contre celuy qui allequo,yes
DE-611-HS-859609:0179:077,heavy_revision,0.818,90r,"per omnem vitam ursisse, id agitas","ver oeur utam ursisse, id agitaste",yes
DE-611-HS-859609:0035:032,heavy_revision,1.000,18r,"est, C",est,yes
00068377:1186:023,heavy_revision,0.889,601v,la bonne foy qu’il a,la bonne fois quil,yes
00068769:0143:109,heavy_revision,0.750,72r,"gangen umb dem König zu hinterbringen, daß
der Kayser nichts thun",ganue umb dus Konius zu hmbrbein de de Kayieo nisihm,yes
00068433:0032:007,heavy_revision,1.000,16v,"tit. D. et C. de periculo et
commodo rei venditae.",tit. D. et C. de periculo et commodo rei venditae,yes
00068330:0046:016,heavy_revision,1.000,23v,"Manifestum
est quod dicet (- idola a se rejici -) eo quod creaturae","Manifestum est quod dicet idola a se rejici, eo quod creaturae",yes
DE-611-HS-856498:0038:012,heavy_revision,0.924,19v,nicum subinde admistum habere. An durat Tibi cum Bernardo commercium,nicm subinde admustum habepe. Ar durat Tibicum Bernardo comimervium,yes
00068650:0009:146,heavy_revision,0.956,5r,"detraham, ut contra subtilitatem eorum admirer,","detraham, ut contra subtilitatem earum admiret,",yes
00068299:0013:068,heavy_revision,1.000,5r,rerent. Haec Lex 12. peculiarem Exercitationem,rerent.. Haec Lex 12. peculiarem xercitationem,yes
00068823:0324:003,heavy_revision,0.833,169v,"n gelindigkeit und flexibilität
erhalten werden[,]",b gelindigstrit und flexibilitat veholten eroden,yes
00068823:0324:025,heavy_revision,0.784,169v,Mahlzeit. (NB.) Der trunck mus nicht starck s,massieit (N.) der tounck uno nicht start,yes
DE-611-HS-855794:0241:045,scrap,0.917,120r,"fert, tam accurate [n]os depingi, et hanc ipsam suam","fert, tam acurate ruos repinsi, et hanc ipsam suam",yes
DE-611-HS-855794:0242:018,scrap,0.907,120v,hiarint. Utrumque huic muneri non male praefuturum s,niarinnt Utrumque hurc muner o male pfuturi,yes
DE-611-HS-855794:0242:020,scrap,0.867,120v,Cum hic ob reliquorum copiam fama eorum minuatur.,cum hic db reliquonu contam fama eori minuetu,yes
DE-611-HS-958114:0029:034,scrap,1.000,15r,serviteur C,serviteur,yes
DE-611-HS-867148:0144:081,scrap,1.000,72v,d,d,yes
DE-611-HS-861286:0053:017,scrap,0.968,27r,"fort connu, et les Medicins pourr",fort Lonnu et les Medicins pour,yes
DE-611-HS-861286:0054:014,scrap,0.882,27v,"donne le
bon nu",donne le bon nuus,yes
DE-611-HS-867148:0168:003,scrap,0.868,84v,"entia compensabit. Exemplum libri Wagenseiliani de
no",entia compensabit. Excurplum libri Nigensedliana de no,yes
DE-611-HS-958816:0009:004,scrap,1.000,5r,S,s,yes
DE-611-HS-959414:0011:020,scrap,0.976,6r,est tellement ocupé au caualin qu'il n’a pas,et tillement ocupe au caualin quil na pas,yes
DE-611-HS-959414:0012:007,scrap,0.825,6v,"à vous - le malheur quy
est arivé à monsgr.",a vout = le mathent quis est arme a monsgr,yes
DE-611-HS-959414:0012:008,scrap,0.872,6v,le prince Maximilian m’a penssé acabler de,ler prince maaimilion ma pensté acablsd,yes
DE-611-HS-959414:0012:041,scrap,0.821,6v,la quiter pour suivre son altesse partout, la guitet qi faivre ton altesse partout,yes
DE-611-HS-959414:0012:044,scrap,0.933,6v,et l’assurer de mes profond Respect et fidelité,et lasturet d mes profond Respeet et fidelité,yes
DE-611-HS-959414:0012:051,scrap,0.919,6v,avoir de vos nouvelles affin que sy vo,avoir d vos nouvelle asin que sy vous,yes
DE-611-HS-859609:0398:013,scrap,1.000,199v,il,il,yes
DE-611-HS-859609:0398:021,scrap,0.800,199v,cepticos nuper miratus,centico) nuper rirale,yes
00068206:0014:029,scrap,1.000,7v,2a,2,yes
00068815:0165:012,scrap,0.833,83r,einen halben dach 13 g. 4,mi nen halben dadh-,yes
DE-611-HS-856973:0133:021,scrap,0.800,67r,"de la Hire et Cassini ont
fait","de la hirqu et eassim aut, fait",yes
DE-611-HS-856973:0134:011,scrap,0.867,67v,"’observatoire, elle servira pour",Lobseribater elle servira pour,yes
DE-611-HS-856973:0134:024,scrap,1.000,67v,on,on,yes
DE-611-HS-958572:0292:021,scrap,1.000,146v,n,N,yes
DE-611-HS-958572:0292:099,scrap,1.000,146v,e,E,yes
DE-611-HS-859552:0001:023,scrap,0.892,1r,"ausus non fui. Cur tamen nunc id
audeam,",ansus non fui. (ur tamen mine id audeam,yes
DE-611-HS-859552:0003:009,scrap,0.929,2r,"lissime, divinum carmen inciderem, quod tan","lissime, divinum carmea in cidenem, quod tan",yes
DE-611-HS-859552:0003:017,scrap,0.979,2r,"est oratio illa, quae nunc,
monentibus Collegis, in","est oratio illa, qua nune monentibus Collegis, in",yes
DE-611-HS-859552:0004:000,scrap,0.886,2v,"Ut vero benevole id agere velis, enixe rogo,","ult, vero bene aole ad agere velis, emixe rogo",yes
DE-611-HS-3595205:0327:022,scrap,0.957,161r,"incapable d’etre rompu.
Ce",incapable d’estre rompu,yes
DE-611-HS-860722:0091:060,scrap,1.000,46r,"x
+ 30e
+ 3e
-9e
— e
-",X,yes
DE-611-HS-860722:0092:013,scrap,1.000,46v,"x°
etc.
et area",+xc et area,yes
DE-611-HS-3616805:0057:031,scrap,0.852,29r,su Amuletorum non facio meam. Addit,strgnletorum non facio meam,yes
00068573:0003:012,scrap,0.971,2r,"qui auront du rapport entre elles feront des
effects ou semblables ou",qui amont du rapport entre elles ferout des effects ou semblables ou,yes
00068573:0003:030,scrap,0.935,2r,"pensées possibles, il est tres difficil que plusieurs hommes se rencontrent dans","pensées possibles, il est tres diffict que plusieur hommes se cencortieat dans",yes
00068573:0003:057,scrap,0.977,2r,"honneur, et plaisirs de convenance; l’un d’estre loué; l’autre par
exemple lecture d’une","Gonueur, et plaisirs de convenance; l’un d’estre loue; l’autre par exemple lecture d’une",yes
DE-611-HS-3616805:0051:092,scrap,1.000,26r,s,s,yes
DE-611-HS-860722:0087:064,scrap,0.952,44r,"tc., ut patebit substituendo in allatam regulam",rc; ut palebit substituendo. in allatâ Regla,yes
DE-611-HS-860722:0087:163,scrap,1.000,44r,"ex logarithmo, methodis",ex logarithmo. Methodi,yes
00068369:0129:125,scrap,0.982,65r,"aliquid eorum
errori, quibus persuasum erat manducationem Sanguinis esse prohibitam.","aliquid errum errori, quibus persuasum erat manducationem",yes
00068369:0130:005,scrap,1.000,65v,"continetur sub utraque specie sacramentaliter, sed caro",continetur sub utraque specie sacramentaliter sed caro,yes
00068369:0130:044,scrap,0.976,65v,Certitudo justificationis necessaria non est,(+ Certitudo justificavis necessaria non est,yes
00068369:0131:121,scrap,0.904,66r,"ab hoc deceptus Lutherus, sed
postremo eam missam fecit, sufficere in coena","ab hocc deceptus intherus, sed postremo em misam decit, sufficere in coemun",yes
00068369:0132:007,scrap,0.919,66v,"hristus secundum humanam hoc universum et in eo Ecclesiam
gubernet vel quod o","oristus secundum humanam hoc universum et in sex Ecles, ot gubenet vel quod",yes
00068369:0132:009,scrap,0.903,66v,"actu autem sistat, ubi promisit. In primo sensu difficultate caret, in","actu autem sistat, ubi promisit. In chaeimo sensu difficultate caret, ut in",yes
00068369:0132:035,scrap,1.000,66v,"in medio relinquitur, an autem illaeso Concilio Tridentino d",in medio relinquitur an autem illaeso concilio tridentino,yes
DE-611-HS-3595205:0063:045,scrap,0.828,32r,"choses que vous dites, vous pouvez estre très seur quel en sera mon
2 (Daneben","chosos quo vour ditor, voin pouver estre ressiar quel en sira mon",yes
00068377:0263:018,scrap,1.000,132r,"discipline : mais le fond a si peu de difficulté
qu’on ne",discipline: mais lefond a si peu de difficulte qu’on ne,yes
00068377:0265:064,scrap,0.963,133r,"car
l’Eglise ne fera point une chose sous pretexte de",car l’Eglise ne fera point une chose sous preteaete de,yes
00068774:0004:005,scrap,0.897,2v,und die abschiede abfaße. Tempore interme,und eae abpside abfasse. Tempore interme-,yes
00068774:0004:006,scrap,0.839,2v,dio könten Mogutino als dirrectori,dio mas Moguntino alc directori,yes
