"ref","stratum","verdict","note"
"DE-611-HS-855794:0242:020","scrap","",""
"DE-611-HS-958114:0029:034","scrap","",""
"DE-611-HS-867148:0144:081","scrap","",""
"DE-611-HS-861286:0053:017","scrap","",""
"DE-611-HS-861286:0054:014","scrap","",""
"DE-611-HS-867148:0168:003","scrap","",""
"DE-611-HS-958816:0009:004","scrap","",""
"DE-611-HS-959414:0011:020","scrap","",""
"DE-611-HS-959414:0012:007","scrap","",""
"DE-611-HS-959414:0012:008","scrap","",""
"DE-611-HS-959414:0012:041","scrap","",""
"DE-611-HS-959414:0012:044","scrap","",""
"DE-611-HS-959414:0012:051","scrap","",""
"DE-611-HS-859609:0398:013","scrap","",""
"DE-611-HS-859609:0398:021","scrap","",""
"00068206:0014:029","scrap","",""
"00068815:0165:012","scrap","",""
"DE-611-HS-856973:0133:021","scrap","",""
"DE-611-HS-856973:0134:011","scrap","",""
"DE-611-HS-856973:0134:024","scrap","",""
"DE-611-HS-958572:0292:021","scrap","",""
"DE-611-HS-958572:0292:099","scrap","",""
"DE-611-HS-859552:0001:023","scrap","",""
"DE-611-HS-859552:0003:009","scrap","",""
"DE-611-HS-859552:0003:017","scrap","",""
"DE-611-HS-859552:0004:000","scrap","",""
"DE-611-HS-3595205:0327:022","scrap","",""
"DE-611-HS-860722:0091:060","scrap","",""
"DE-611-HS-860722:0092:013","scrap","",""
"DE-611-HS-3616805:0057:031","scrap","",""
"00068573:0003:012","scrap","",""
"00068573:0003:030","scrap","",""
"00068573:0003:057","scrap","",""
"DE-611-HS-3616805:0051:092","scrap","",""
"DE-611-HS-860722:0087:064","scrap","",""
"DE-611-HS-860722:0087:163","scrap","",""
"00068369:0129:125","scrap","",""
"00068369:0130:005","scrap","",""
"00068369:0130:044","scrap","",""
"00068369:0131:121","scrap","",""
"00068369:0132:007","scrap","",""
"00068369:0132:009","scrap","",""
"00068369:0132:035","scrap","",""
"DE-611-HS-3595205:0063:045","scrap","",""
"00068377:0263:018","scrap","",""
"00068377:0265:064","scrap","",""
"00068774:0004:005","scrap","",""
"00068774:0004:006","scrap","",""
